#   delphi     C(delphi)    Nphi
 5.0000 -0.001459853       123130
15.0000 -0.000235406       123471
25.0000 -0.000109694       123272
35.0000 -0.000220562       123349
45.0000 -0.000858384       123444
55.0000  0.000263314       123260
65.0000 -0.000695852       123674
75.0000 -0.000025611       123475
85.0000 -0.000736548       123643
95.0000  0.000235133       123779
105.0000 -0.000518655       123636
115.0000 -0.000001580       123514
125.0000 -0.000409187       123632
135.0000 -0.000310131       122708
145.0000  0.000141923       124047
155.0000 -0.000229624       123086
165.0000 -0.000029929       123296
175.0000  0.000240818       123350
