#   dely     C(y)    Ny
 0.0500 -0.000015281       300584
 0.1500 -0.000486231       289244
 0.2500 -0.000839841       271592
 0.3500 -0.000308076       248074
 0.4500  0.000909782       222980
 0.5500 -0.000388697       197803
 0.6500 -0.000262811       170517
 0.7500  0.000162051       144613
 0.8500 -0.000227009       119466
 0.9500 -0.000665211        93459
 1.0500  0.000059774        68788
 1.1500  0.000650993        46315
 1.2500 -0.000266122        27887
 1.3500 -0.000527526        14063
 1.4500  0.000255290         5437
 1.5500 -0.000431984         1215
 1.6500  0.008163460           86
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
