#   dely     C(y)    Ny
 0.0500 -0.000521017       300172
 0.1500 -0.000336231       290070
 0.2500  0.000760110       273058
 0.3500 -0.000446649       248698
 0.4500 -0.000145593       223192
 0.5500  0.000477114       196882
 0.6500  0.000207529       170787
 0.7500 -0.000049713       145369
 0.8500  0.000265485       119067
 0.9500  0.000215146        93135
 1.0500 -0.000220797        68456
 1.1500  0.000168364        46125
 1.2500  0.000289575        27795
 1.3500 -0.000954823        13828
 1.4500  0.000918927         5254
 1.5500 -0.001533432         1229
 1.6500  0.003219993           84
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
