#   delphi     C(delphi)    Nphi
 5.0000  0.000839020      1222415
15.0000 -0.000282188      1221836
25.0000 -0.000048373      1223405
35.0000  0.000410402      1223515
45.0000  0.000227908      1222163
55.0000 -0.000201611      1222841
65.0000 -0.000269725      1223772
75.0000  0.000137376      1223452
85.0000  0.000212773      1223422
95.0000 -0.000354385      1223828
105.0000  0.000100976      1224242
115.0000  0.000074124      1225447
125.0000 -0.000063486      1223623
135.0000 -0.000163454      1222730
145.0000  0.000262089      1223831
155.0000 -0.000194580      1224362
165.0000  0.000228955      1225084
175.0000 -0.000004658      1223254
