#   dely     C(y)    Ny
 0.0500  0.000411917      2843659
 0.1500  0.000269807      2749244
 0.2500  0.000068836      2590363
 0.3500 -0.000019791      2388857
 0.4500 -0.000250371      2163104
 0.5500  0.000118290      1928963
 0.6500 -0.000221707      1692376
 0.7500  0.000015927      1453323
 0.8500  0.000183437      1215851
 0.9500 -0.000024882       984960
 1.0500 -0.000146403       759166
 1.1500  0.000250455       547687
 1.2500  0.000256734       361922
 1.3500 -0.000099009       209650
 1.4500 -0.000505518        99802
 1.5500 -0.001505197        33218
 1.6500  0.004191869         5087
 1.7500 -0.004846178           79
 1.8500         -nan            0
 1.9500         -nan            0
