#   delphi     C(delphi)    Nphi
 5.0000  0.000785692      1222473
15.0000 -0.000234820      1223985
25.0000 -0.000206834      1223057
35.0000  0.000114571      1224511
45.0000 -0.000304345      1225137
55.0000 -0.000549164      1221039
65.0000 -0.000343420      1223648
75.0000 -0.000414289      1226032
85.0000 -0.000240167      1223287
95.0000 -0.000087214      1223869
105.0000  0.000083536      1222908
115.0000  0.000127199      1225130
125.0000 -0.000186502      1221870
135.0000  0.000341177      1224323
145.0000 -0.000129621      1223341
155.0000 -0.000055630      1222086
165.0000 -0.000090995      1221298
175.0000  0.000119749      1224569
