#   dely     C(y)    Ny
 0.0500  0.000550670      2842048
 0.1500 -0.000110016      2748738
 0.2500  0.000186544      2588169
 0.3500 -0.000175540      2390288
 0.4500  0.000333339      2163481
 0.5500 -0.000124488      1928158
 0.6500 -0.000100831      1689912
 0.7500  0.000007798      1456287
 0.8500  0.000190941      1217901
 0.9500 -0.000104488       984560
 1.0500 -0.000165492       760406
 1.1500 -0.000313986       547625
 1.2500 -0.000034122       361495
 1.3500  0.000607215       210034
 1.4500 -0.000021029        99454
 1.5500  0.000904708        33177
 1.6500 -0.001346748         5116
 1.7500 -0.000739024           97
 1.8500         -nan            0
 1.9500         -nan            0
