#   delphi     C(delphi)    Nphi
 5.0000  0.000957705      1223974
15.0000  0.000101655      1223176
25.0000 -0.000325451      1224819
35.0000 -0.000028878      1223846
45.0000 -0.000369072      1225510
55.0000 -0.000227713      1222960
65.0000 -0.000148363      1224466
75.0000 -0.000084924      1223336
85.0000  0.000156577      1222271
95.0000 -0.000090687      1224226
105.0000 -0.000247461      1223919
115.0000  0.000088961      1221512
125.0000 -0.000189477      1224529
135.0000  0.000003841      1223810
145.0000 -0.000126269      1224218
155.0000 -0.000028464      1225596
165.0000  0.000289739      1224364
175.0000  0.000051498      1224469
