#   delphi     C(delphi)    Nphi
 5.0000  0.001206832      1224254
15.0000  0.000259799      1224608
25.0000 -0.000034101      1224374
35.0000  0.000370645      1225409
45.0000 -0.000323510      1223295
55.0000  0.000275665      1222736
65.0000  0.000395019      1224197
75.0000  0.000019246      1223196
85.0000  0.000017422      1222917
95.0000  0.000012330      1223477
105.0000 -0.000360705      1222608
115.0000 -0.000145753      1223239
125.0000 -0.000311974      1222624
135.0000  0.000123899      1223234
145.0000 -0.000133200      1226112
155.0000  0.000216108      1222950
165.0000 -0.000090248      1224656
175.0000 -0.000178397      1223060
