#   dely     C(y)    Ny
 0.0500  0.000113940      2839861
 0.1500 -0.000083425      2752967
 0.2500  0.000195756      2591721
 0.3500  0.000097911      2391911
 0.4500 -0.000096816      2164605
 0.5500  0.000241369      1930449
 0.6500  0.000055891      1693094
 0.7500  0.000047656      1455321
 0.8500 -0.000012152      1217896
 0.9500 -0.000283966       985683
 1.0500 -0.000234996       760714
 1.1500  0.000044568       549211
 1.2500 -0.000343187       361183
 1.3500  0.000445439       210269
 1.4500  0.000094371       100050
 1.5500  0.001270623        33198
 1.6500 -0.001261074         5024
 1.7500  0.011239227           78
 1.8500         -nan            0
 1.9500         -nan            0
