#   dely     C(y)    Ny
 0.0500  0.000277693      2841789
 0.1500 -0.000092470      2750899
 0.2500 -0.000175761      2589579
 0.3500 -0.000147350      2385619
 0.4500  0.000042432      2162040
 0.5500  0.000075765      1927501
 0.6500 -0.000112393      1691472
 0.7500  0.000341164      1454717
 0.8500  0.000027847      1216508
 0.9500 -0.000259447       985776
 1.0500 -0.000560406       758868
 1.1500  0.000175564       547900
 1.2500 -0.000074198       361875
 1.3500 -0.000043395       210362
 1.4500 -0.000226560        99904
 1.5500 -0.000310650        33138
 1.6500 -0.001371233         4987
 1.7500  0.012437296           80
 1.8500         -nan            0
 1.9500         -nan            0
