#   delphi     C(delphi)    Nphi
 5.0000  0.001210355     26570384
15.0000 -0.000055197     26584050
25.0000 -0.000059268     26582347
35.0000 -0.000029377     26576608
45.0000  0.000067679     26577473
55.0000 -0.000156696     26581445
65.0000  0.000061475     26582186
75.0000 -0.000023925     26579466
85.0000  0.000085036     26580749
95.0000 -0.000037958     26571216
105.0000 -0.000232765     26572169
115.0000  0.000080452     26573410
125.0000  0.000000591     26555829
135.0000  0.000015612     26578887
145.0000 -0.000025390     26584608
155.0000 -0.000150146     26573227
165.0000  0.000016714     26572154
175.0000  0.000021711     26572464
