#   dely     C(y)    Ny
 0.0500  0.000426963     54321648
 0.1500  0.000000643     51658702
 0.2500  0.000025452     48517355
 0.3500 -0.000001497     45278898
 0.4500 -0.000028794     41955945
 0.5500 -0.000183922     38559744
 0.6500  0.000016400     35109298
 0.7500  0.000015056     31633158
 0.8500 -0.000033332     28128195
 0.9500  0.000169095     24626726
 1.0500  0.000076307     21147918
 1.1500 -0.000035661     17710446
 1.2500  0.000055764     14321748
 1.3500  0.000373526     11007347
 1.4500 -0.000133362      7778167
 1.5500  0.000224920      4650999
 1.6500 -0.000056247      1803791
 1.7500 -0.000728430       188493
 1.8500         -nan            0
 1.9500         -nan            0
