#   delphi     C(delphi)    Nphi
 5.0000  0.001144826     26582416
15.0000 -0.000315034     26577242
25.0000 -0.000203872     26583715
35.0000  0.000148504     26585867
45.0000 -0.000075437     26584125
55.0000 -0.000132388     26589301
65.0000 -0.000037629     26575869
75.0000  0.000047729     26576236
85.0000  0.000017181     26582331
95.0000 -0.000016632     26577719
105.0000 -0.000030248     26578677
115.0000  0.000024549     26573021
125.0000  0.000097137     26583471
135.0000 -0.000096769     26573742
145.0000 -0.000022559     26571212
155.0000  0.000112502     26574579
165.0000  0.000031625     26578454
175.0000 -0.000008210     26575227
