#   delphi     C(delphi)    Nphi
 5.0000  0.001060282     26583337
15.0000 -0.000069974     26579938
25.0000 -0.000136467     26584226
35.0000  0.000023598     26588417
45.0000  0.000063624     26577068
55.0000 -0.000156012     26574855
65.0000 -0.000021364     26587192
75.0000 -0.000017579     26577964
85.0000 -0.000236216     26575203
95.0000 -0.000005880     26574591
105.0000  0.000161667     26590320
115.0000  0.000008886     26579885
125.0000  0.000004248     26578567
135.0000  0.000071950     26574619
145.0000  0.000108738     26577444
155.0000 -0.000086564     26582138
165.0000  0.000040615     26577010
175.0000  0.000015981     26586044
