#   dely     C(y)    Ny
 0.0500  0.000419021     54323301
 0.1500  0.000028472     51658038
 0.2500 -0.000037909     48535361
 0.3500  0.000017875     45285528
 0.4500 -0.000009603     41962624
 0.5500  0.000041635     38575414
 0.6500 -0.000044378     35105559
 0.7500  0.000022368     31617929
 0.8500  0.000128885     28131267
 0.9500  0.000104183     24630708
 1.0500 -0.000061336     21157169
 1.1500 -0.000010193     17715612
 1.2500 -0.000106450     14317982
 1.3500  0.000048327     11005323
 1.4500 -0.000008408      7777131
 1.5500  0.000028382      4652270
 1.6500 -0.000085573      1807257
 1.7500 -0.000007418       188014
 1.8500         -nan            0
 1.9500         -nan            0
