#   dely     C(y)    Ny
 0.0500  0.000452883     54315326
 0.1500 -0.000031311     51654574
 0.2500 -0.000037530     48530955
 0.3500 -0.000036087     45277905
 0.4500 -0.000026992     41957831
 0.5500  0.000027706     38562876
 0.6500  0.000082182     35111275
 0.7500  0.000015093     31620481
 0.8500 -0.000044787     28132057
 0.9500  0.000132313     24630344
 1.0500 -0.000067125     21152749
 1.1500  0.000080569     17706431
 1.2500  0.000131788     14322212
 1.3500 -0.000028931     11007568
 1.4500  0.000247594      7775435
 1.5500  0.000079313      4649236
 1.6500 -0.000102145      1809072
 1.7500  0.000729025       188225
 1.8500         -nan            0
 1.9500         -nan            0
