#   dely     C(y)    Ny
 0.0500  0.000561527     54323686
 0.1500  0.000004722     51656906
 0.2500 -0.000016302     48530327
 0.3500 -0.000104862     45293952
 0.4500  0.000000101     41956710
 0.5500 -0.000107957     38563599
 0.6500  0.000049333     35121435
 0.7500  0.000062786     31619712
 0.8500  0.000091056     28114387
 0.9500  0.000030560     24624927
 1.0500 -0.000092196     21150413
 1.1500  0.000015749     17707811
 1.2500  0.000060367     14314613
 1.3500  0.000071492     11000299
 1.4500  0.000036183      7777775
 1.5500  0.000068665      4649720
 1.6500  0.000160807      1805476
 1.7500 -0.000431876       187973
 1.8500         -nan            0
 1.9500         -nan            0
