   1.25   0.31491832  5893.00000000    0.22402552  5546.00000000    0.24051057  5754.00000000  -0.40894729 479.53999870
   3.75   0.29592624  5882.00000000    0.28794801  5768.00000000    0.30085881  5665.00000000   0.18715794 3758.59183533
   6.25   0.30576017  5510.00000000    0.32340471  5559.00000000    0.32654408  5598.00000000   0.32067089 10388.66873327
   8.75   0.27292844  5438.00000000    0.30351965  5561.00000000    0.27973479  5535.00000000   0.30617538 19844.37384507
  11.25   0.23111026  5409.00000000    0.27699767  5604.00000000    0.26862221  5494.00000000   0.24901794 31763.20662181
  13.75   0.21773871  5219.00000000    0.24966040  5673.00000000    0.24430934  5566.00000000   0.19716703 45975.37706422
  16.25   0.15708648  5092.00000000    0.21233008  5686.00000000    0.18482222  5483.00000000   0.14962041 61683.36503554
  18.75   0.14311133  4889.00000000    0.18870661  5626.00000000    0.14986227  5506.00000000   0.11737868 79717.51654879
  21.25   0.07962190  4836.00000000    0.14573354  5576.00000000    0.10285061  5446.00000000   0.07932097 99330.98381569
  23.75   0.06483814  4785.00000000    0.12978667  5672.00000000    0.08195788  5406.00000000   0.06088279 120556.57617113
  26.25   0.03438204  4528.00000000    0.08456003  5549.00000000    0.08062004  5407.00000000   0.04069340 143469.13069079
  28.75   0.02375479  4424.00000000    0.06459931  5676.00000000    0.06145071  5294.00000000   0.02596553 166665.45269730
  31.25   0.01471659  4271.00000000    0.04148173  5710.00000000    0.04270822  5192.00000000   0.01822567 192709.62935189
  33.75  -0.00577675  4253.00000000    0.02924710  5587.00000000    0.01243183  5164.00000000   0.00634055 218634.70128985
  36.25  -0.03199894  4242.00000000    0.01197978  5652.00000000    0.00559682  4989.00000000   0.00636414 244720.00167784
  38.75  -0.00922359  4097.00000000    0.00680700  5664.00000000    0.02481834  5032.00000000   0.00290343 271786.50512998
  41.25  -0.01008867  4013.00000000   -0.00678381  5674.00000000    0.00932718  4998.00000000   0.00042427 301552.28565761
  43.75  -0.00638168  3925.00000000   -0.00005406  5566.00000000    0.00978429  4998.00000000   0.00126413 330202.98337724
  46.25  -0.01672511  3792.00000000   -0.00224454  5758.00000000    0.01028268  4845.00000000   0.00001137 358651.94940444
