#   dely     C(y)    Ny
 0.0500 -0.000332829       299639
 0.1500 -0.000210576       289787
 0.2500  0.000542722       271521
 0.3500 -0.000081215       248400
 0.4500  0.000160791       222832
 0.5500  0.000038127       196580
 0.6500  0.000361229       171884
 0.7500 -0.000261266       144479
 0.8500  0.000367201       119231
 0.9500  0.000378630        93216
 1.0500  0.000102846        68513
 1.1500  0.000443600        46109
 1.2500  0.000255192        27733
 1.3500 -0.000503814        13807
 1.4500 -0.001403189         5300
 1.5500  0.000684149         1164
 1.6500  0.002702465          108
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
