#   dely     C(y)    Ny
 0.0500 -0.000335411       299241
 0.1500 -0.000260004       289562
 0.2500 -0.000290017       271399
 0.3500 -0.000213471       248691
 0.4500  0.000124022       222486
 0.5500 -0.000482499       197450
 0.6500 -0.000035026       170821
 0.7500 -0.000681173       143869
 0.8500 -0.000188840       118555
 0.9500  0.000004970        92797
 1.0500 -0.000350103        68479
 1.1500 -0.000091310        46192
 1.2500 -0.000081181        27800
 1.3500  0.000519522        13788
 1.4500 -0.000992510         5214
 1.5500  0.002269610         1236
 1.6500  0.001514427           84
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
