#   delphi     C(delphi)    Nphi
 5.0000 -0.000830545       123262
15.0000 -0.000946677       122967
25.0000  0.000219325       123811
35.0000  0.000409926       123215
45.0000  0.000242149       122808
55.0000 -0.000013502       123056
65.0000 -0.000117754       122753
75.0000 -0.000138315       123125
85.0000 -0.000329480       122360
95.0000 -0.000284363       123199
105.0000  0.000171272       123654
115.0000 -0.000141193       123148
125.0000 -0.000404033       123050
135.0000 -0.000025679       122987
145.0000 -0.000068901       122853
155.0000 -0.000170461       123725
165.0000  0.000119999       123230
175.0000 -0.000113100       123618
