#   dely     C(y)    Ny
 0.0500 -0.000512359       300508
 0.1500  0.000015845       290003
 0.2500 -0.000069386       271396
 0.3500  0.000005457       248704
 0.4500 -0.000407965       222875
 0.5500  0.000210956       197200
 0.6500  0.000310387       170806
 0.7500 -0.000026975       144917
 0.8500  0.000212930       118869
 0.9500 -0.000051388        92803
 1.0500  0.000440053        68828
 1.1500 -0.000148919        46387
 1.2500  0.000527066        27488
 1.3500 -0.000097368        14007
 1.4500  0.000733676         5194
 1.5500 -0.003804502         1207
 1.6500  0.028684095           92
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
