#   dely     C(y)    Ny
 0.0500 -0.000325339       300527
 0.1500 -0.000374028       290284
 0.2500 -0.000082698       270366
 0.3500 -0.000153190       248534
 0.4500 -0.000129906       223449
 0.5500  0.000326503       196969
 0.6500  0.000135492       170110
 0.7500 -0.000430856       144391
 0.8500  0.000118389       118870
 0.9500  0.000315194        93007
 1.0500  0.000198328        69119
 1.1500  0.000199396        46372
 1.2500 -0.000243598        27706
 1.3500 -0.000005273        13762
 1.4500  0.000907803         5270
 1.5500  0.000359924         1214
 1.6500  0.002111378           90
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
