#   delphi     C(delphi)    Nphi
 5.0000 -0.000820140       123089
15.0000 -0.000281676       123214
25.0000 -0.001014564       123254
35.0000  0.000365334       123547
45.0000  0.000359711       123192
55.0000  0.000876021       122753
65.0000 -0.000119650       122988
75.0000  0.000400119       122981
85.0000 -0.000109337       123358
95.0000  0.000156614       123543
105.0000 -0.000066703       123719
115.0000  0.000015395       123270
125.0000  0.000218666       122920
135.0000  0.000123027       122955
145.0000  0.000194961       122946
155.0000 -0.000122931       123483
165.0000  0.000181432       122714
175.0000  0.000339306       123490
