#   delphi     C(delphi)    Nphi
 5.0000 -0.000330751       123436
15.0000 -0.000192824       123599
25.0000  0.000429087       123725
35.0000 -0.000111866       123183
45.0000 -0.000050195       124193
55.0000 -0.000017616       123403
65.0000 -0.000126584       122618
75.0000 -0.000499313       123107
85.0000 -0.000277840       123082
95.0000 -0.000233421       123745
105.0000 -0.000058112       123492
115.0000 -0.000238336       123479
125.0000  0.000031996       124023
135.0000 -0.000560245       123740
145.0000  0.000406449       122760
155.0000 -0.000231872       123127
165.0000 -0.000325312       123687
175.0000  0.000252920       123852
