#   delphi     C(delphi)    Nphi
 5.0000  0.000640195     26575670
15.0000  0.000095703     26572422
25.0000 -0.000017463     26576068
35.0000  0.000044266     26571096
45.0000  0.000076104     26580218
55.0000  0.000010490     26579673
65.0000  0.000072146     26575998
75.0000  0.000028810     26575435
85.0000  0.000132225     26578913
95.0000 -0.000004838     26576713
105.0000  0.000034207     26582695
115.0000 -0.000005467     26575894
125.0000 -0.000037598     26580211
135.0000 -0.000031882     26579012
145.0000 -0.000098993     26572865
155.0000  0.000004655     26582542
165.0000  0.000030416     26577059
175.0000 -0.000024719     26576897
