#   dely     C(y)    Ny
 0.0500  0.000232561     54317679
 0.1500  0.000195339     51665426
 0.2500  0.000061131     48514657
 0.3500  0.000033168     45287907
 0.4500 -0.000009937     41962043
 0.5500  0.000028983     38566436
 0.6500  0.000005050     35098845
 0.7500 -0.000035632     31619387
 0.8500  0.000071476     28125509
 0.9500  0.000062709     24622543
 1.0500  0.000149265     21140129
 1.1500 -0.000006156     17711228
 1.2500  0.000006489     14322512
 1.3500 -0.000098485     11010555
 1.4500  0.000105125      7774556
 1.5500 -0.000012878      4648817
 1.6500  0.000156300      1806308
 1.7500  0.000268393       188018
 1.8500         -nan            0
 1.9500         -nan            0
