   5.00   0.00071340 637855732.00000000   0.00001155
  15.00   0.00017020 637857571.00000000   0.00000992
  25.00   0.00011510 637874935.00000000   0.00001181
  35.00   0.00006843 637876877.00000000   0.00000926
  45.00   0.00005102 637855699.00000000   0.00001137
  55.00   0.00004092 637859080.00000000   0.00001198
  65.00   0.00005154 637835170.00000000   0.00000980
  75.00   0.00001445 637873500.00000000   0.00001161
  85.00   0.00002226 637943112.00000000   0.00000997
  95.00  -0.00000099 637831900.00000000   0.00000887
 105.00   0.00002235 637890331.00000000   0.00000936
 115.00   0.00002349 637819062.00000000   0.00000954
 125.00   0.00002336 637875602.00000000   0.00000972
 135.00   0.00000323 637844762.00000000   0.00001029
 145.00  -0.00001007 637871518.00000000   0.00000958
 155.00  -0.00000906 637840845.00000000   0.00000888
 165.00  -0.00000916 637846759.00000000   0.00000769
 175.00  -0.00000104 637826564.00000000   0.00000812
