#   delphi     C(delphi)    Nphi
 5.0000  0.000699177     26576035
15.0000  0.000156999     26580493
25.0000  0.000092068     26588153
35.0000  0.000052687     26581196
45.0000  0.000069372     26577664
55.0000  0.000117753     26581538
65.0000  0.000001289     26576935
75.0000  0.000008504     26577220
85.0000  0.000050553     26587946
95.0000 -0.000021117     26569008
105.0000 -0.000032671     26581814
115.0000  0.000029072     26581759
125.0000  0.000113660     26571863
135.0000 -0.000012588     26573736
145.0000  0.000022477     26568109
155.0000 -0.000023632     26572822
165.0000 -0.000023749     26581458
175.0000  0.000014958     26576803
