#   delphi     C(delphi)    Nphi
 5.0000  0.000670566     26576341
15.0000  0.000219821     26575249
25.0000  0.000120695     26582550
35.0000  0.000128820     26579877
45.0000 -0.000034447     26576131
55.0000 -0.000001116     26575276
65.0000  0.000093385     26575406
75.0000  0.000028131     26579631
85.0000 -0.000042355     26571315
95.0000  0.000002307     26579579
105.0000  0.000118412     26587688
115.0000 -0.000060980     26569661
125.0000  0.000078470     26584924
135.0000 -0.000031980     26572266
145.0000  0.000015825     26582355
155.0000  0.000024004     26574012
165.0000 -0.000014429     26577915
175.0000 -0.000041491     26576946
