   0.05   0.00030599 1303608193.00000000   0.00000913
   0.15   0.00011667 1239780299.00000000   0.00001117
   0.25   0.00005483 1164536030.00000000   0.00000927
   0.35   0.00004969 1086806336.00000000   0.00000807
   0.45   0.00003562 1006930951.00000000   0.00001045
   0.55   0.00004328 925450592.00000000   0.00000924
   0.65   0.00003303 842687014.00000000   0.00000901
   0.75   0.00002099 758985438.00000000   0.00000979
   0.85   0.00003085 675041021.00000000   0.00001125
   0.95   0.00000665 591054604.00000000   0.00001069
   1.05   0.00002662 507576550.00000000   0.00001231
   1.15  -0.00000282 424979186.00000000   0.00001339
   1.25   0.00000090 343746302.00000000   0.00001246
   1.35  -0.00001896 264136937.00000000   0.00001627
   1.45   0.00001965 186654357.00000000   0.00001960
   1.55   0.00003266 111629394.00000000   0.00002169
   1.65   0.00004917 43361790.00000000   0.00004222
   1.75  -0.00008976 4514025.00000000   0.00010508
   1.85   0.00000000   0.00000000   0.00000000
   1.95   0.00000000   0.00000000   0.00000000
