#   dely     C(y)    Ny
 0.0500  0.000401074     54326482
 0.1500  0.000118391     51654635
 0.2500  0.000016503     48524585
 0.3500  0.000105113     45283724
 0.4500 -0.000016480     41956295
 0.5500  0.000019041     38552517
 0.6500 -0.000010093     35117440
 0.7500  0.000039003     31614674
 0.8500 -0.000002227     28121021
 0.9500  0.000028592     24635756
 1.0500  0.000095282     21150403
 1.1500  0.000074198     17707564
 1.2500  0.000070599     14324935
 1.3500  0.000094934     11000184
 1.4500  0.000042705      7778148
 1.5500  0.000039724      4649610
 1.6500  0.000178280      1807485
 1.7500  0.000917744       188391
 1.8500         -nan            0
 1.9500         -nan            0
