#   dely     C(y)    Ny
 0.0500  0.000374817     54310947
 0.1500  0.000122243     51654941
 0.2500  0.000119060     48532088
 0.3500  0.000059713     45292931
 0.4500  0.000065660     41954298
 0.5500  0.000096349     38555354
 0.6500  0.000042421     35100018
 0.7500  0.000131049     31627458
 0.8500 -0.000035204     28133002
 0.9500 -0.000019081     24624402
 1.0500 -0.000027845     21146857
 1.1500 -0.000029261     17706231
 1.2500 -0.000070185     14326545
 1.3500  0.000047445     11008640
 1.4500  0.000094577      7780188
 1.5500  0.000094924      4650470
 1.6500  0.000226503      1806614
 1.7500  0.000542803       187596
 1.8500         -nan            0
 1.9500         -nan            0
