#   dely     C(y)    Ny
 0.0500  0.000367150     54315536
 0.1500  0.000156897     51660128
 0.2500  0.000151431     48524284
 0.3500  0.000110596     45287218
 0.4500  0.000068820     41957434
 0.5500  0.000077094     38552094
 0.6500  0.000076292     35115162
 0.7500  0.000081967     31628149
 0.8500  0.000073114     28127611
 0.9500  0.000086156     24620407
 1.0500  0.000093471     21154626
 1.1500 -0.000017733     17697451
 1.2500 -0.000012811     14328097
 1.3500  0.000072490     11007439
 1.4500  0.000026733      7779344
 1.5500 -0.000013323      4651739
 1.6500 -0.000072119      1805351
 1.7500 -0.000217071       188176
 1.8500         -nan            0
 1.9500         -nan            0
