#   dely     C(y)    Ny
 0.0500  0.000430989     54313759
 0.1500  0.000151180     51654206
 0.2500  0.000122449     48532331
 0.3500  0.000124777     45291002
 0.4500  0.000098973     41948393
 0.5500  0.000075674     38559769
 0.6500  0.000070880     35115391
 0.7500  0.000109780     31624534
 0.8500  0.000070357     28126777
 0.9500  0.000137249     24630026
 1.0500  0.000043904     21155922
 1.1500  0.000010013     17710759
 1.2500  0.000052722     14319397
 1.3500  0.000049788     11007740
 1.4500  0.000078019      7776029
 1.5500  0.000045350      4649690
 1.6500  0.000063918      1806333
 1.7500  0.000042878       188467
 1.8500         -nan            0
 1.9500         -nan            0
