#   delphi     C(delphi)    Nphi
 5.0000  0.000777529     26574194
15.0000  0.000308607     26572720
25.0000  0.000198769     26568080
35.0000  0.000117420     26583323
45.0000  0.000160133     26573429
55.0000  0.000108381     26576685
65.0000  0.000107623     26575105
75.0000  0.000086899     26576323
85.0000  0.000061287     26568750
95.0000  0.000055823     26579323
105.0000  0.000044384     26580091
115.0000  0.000076282     26583139
125.0000  0.000057754     26576605
135.0000  0.000031954     26569938
145.0000  0.000017377     26577209
155.0000  0.000000842     26581733
165.0000  0.000062044     26571128
175.0000  0.000032231     26590368
