#   dely     C(y)    Ny
 0.0500  0.000406013     54313404
 0.1500  0.000208181     51661141
 0.2500  0.000168318     48526324
 0.3500  0.000123437     45280924
 0.4500  0.000143372     41956716
 0.5500  0.000104691     38554850
 0.6500  0.000085435     35104992
 0.7500  0.000079361     31627527
 0.8500  0.000034633     28127800
 0.9500  0.000053117     24617286
 1.0500  0.000064713     21154908
 1.1500  0.000057498     17709677
 1.2500  0.000014068     14323152
 1.3500 -0.000004901     11013881
 1.4500  0.000013156      7784798
 1.5500 -0.000067896      4651727
 1.6500  0.000068560      1806175
 1.7500  0.000430058       188602
 1.8500         -nan            0
 1.9500         -nan            0
