#   dely     C(y)    Ny
 0.0500  0.000351245     54305766
 0.1500  0.000191750     51658911
 0.2500  0.000153533     48517867
 0.3500  0.000126208     45278121
 0.4500  0.000083932     41964313
 0.5500  0.000108310     38554983
 0.6500  0.000077809     35106988
 0.7500  0.000087191     31641875
 0.8500  0.000113979     28124221
 0.9500  0.000063929     24626771
 1.0500  0.000088254     21145619
 1.1500  0.000055112     17714146
 1.2500  0.000061857     14324141
 1.3500 -0.000035062     11009329
 1.4500 -0.000002528      7775044
 1.5500  0.000038557      4653267
 1.6500 -0.000042911      1807921
 1.7500  0.000083240       188314
 1.8500         -nan            0
 1.9500         -nan            0
