#   delphi     C(delphi)    Nphi
 5.0000  0.000844886     26577302
15.0000  0.000318724     26581058
25.0000  0.000250504     26583593
35.0000  0.000186504     26577939
45.0000  0.000063559     26581580
55.0000  0.000099806     26571896
65.0000  0.000073558     26568955
75.0000  0.000093673     26581641
85.0000  0.000118562     26569632
95.0000  0.000059938     26573458
105.0000  0.000046792     26582445
115.0000  0.000040411     26578190
125.0000  0.000068060     26571297
135.0000  0.000063598     26581034
145.0000  0.000071039     26572197
155.0000  0.000065765     26590049
165.0000  0.000008293     26579913
175.0000  0.000044679     26581705
