#   dely     C(y)    Ny
 0.0500  0.000385064     54315428
 0.1500  0.000206631     51663855
 0.2500  0.000129570     48532970
 0.3500  0.000102817     45290327
 0.4500  0.000137214     41957843
 0.5500  0.000072469     38554277
 0.6500  0.000061747     35110883
 0.7500  0.000073870     31626222
 0.8500  0.000025043     28124270
 0.9500  0.000057186     24630957
 1.0500  0.000078187     21144989
 1.1500  0.000007041     17708416
 1.2500  0.000014113     14326972
 1.3500  0.000104584     11007180
 1.4500 -0.000013323      7776034
 1.5500 -0.000038800      4651327
 1.6500  0.000015938      1806235
 1.7500  0.000127280       188298
 1.8500         -nan            0
 1.9500         -nan            0
