#   delphi     C(delphi)    Nphi
 5.0000  0.000796890     26581408
15.0000  0.000263331     26583175
25.0000  0.000172299     26584063
35.0000  0.000155342     26576910
45.0000  0.000113808     26572307
55.0000  0.000088618     26579420
65.0000  0.000127146     26582413
75.0000  0.000044320     26564897
85.0000  0.000085567     26581660
95.0000  0.000116334     26567239
105.0000  0.000053386     26578765
115.0000  0.000086148     26580205
125.0000  0.000023562     26576625
135.0000  0.000055356     26582377
145.0000  0.000078074     26581483
155.0000  0.000049062     26587192
165.0000  0.000058850     26588084
175.0000  0.000051681     26588265
