#   dely     C(y)    Ny
 0.0500  0.000389657     54317199
 0.1500  0.000187132     51653828
 0.2500  0.000161539     48537452
 0.3500  0.000149816     45293115
 0.4500  0.000117922     41961008
 0.5500  0.000093620     38558755
 0.6500  0.000075118     35101953
 0.7500  0.000077090     31622506
 0.8500  0.000081666     28117102
 0.9500  0.000048104     24631321
 1.0500  0.000095429     21154795
 1.1500  0.000034087     17707196
 1.2500  0.000017354     14322222
 1.3500  0.000003298     11002915
 1.4500  0.000045719      7772750
 1.5500  0.000018943      4655379
 1.6500  0.000000915      1807021
 1.7500  0.000093632       187711
 1.8500         -nan            0
 1.9500         -nan            0
