#   dely     C(y)    Ny
 0.0500  0.000394564     54319867
 0.1500  0.000203178     51653258
 0.2500  0.000145179     48512873
 0.3500  0.000123787     45284662
 0.4500  0.000114882     41948287
 0.5500  0.000131431     38556475
 0.6500  0.000086452     35107849
 0.7500  0.000088374     31628863
 0.8500  0.000028155     28131263
 0.9500  0.000045963     24620817
 1.0500  0.000056984     21159315
 1.1500  0.000011870     17710802
 1.2500  0.000080664     14325833
 1.3500  0.000038617     11007823
 1.4500  0.000080944      7774729
 1.5500  0.000033623      4649210
 1.6500  0.000095218      1809247
 1.7500  0.000016929       188298
 1.8500         -nan            0
 1.9500         -nan            0
